# HATS verification results for
# s3://stpubdata/panstarrs/ps1/public/hats/otmo/otmo
# Package versions: hats v0.7.4.dev20+g6081879d7; hats-import v0.7.4.dev8+g5e8b736a2
# User-supplied truth schema: None
# User-supplied truth total rows: None
datetime,passed,test,target,description,bad_files
2026/01/05 20:50:02 UTC,True,valid hats,otmo,Test hats.io.validation.is_valid_collection.,[]
2026/01/05 20:50:02 UTC,True,file sets,_metadata vs data files,Test that files in _metadata match the data files on disk.,[]
2026/01/05 22:36:01 UTC,True,num rows,file footers vs catalog properties,"Test that number of rows are equal. file footers (10,560,724,292) vs catalog properties (10,560,724,292).",[]
2026/01/05 22:36:02 UTC,True,num rows,file footers vs _metadata,"Test that number of rows are equal. file footers (10,560,724,292) vs _metadata (10,560,724,292).",[]
2026/01/05 22:36:02 UTC,True,schema,_common_metadata vs truth,"Test that schemas are equal, excluding metadata.",[]
2026/01/05 22:36:02 UTC,True,schema,_metadata vs truth,"Test that schemas are equal, excluding metadata.",[]
2026/01/05 22:36:02 UTC,True,schema,file footers vs truth,"Test that schemas are equal, excluding metadata.",[]
